0.01060, 1.24909, -0.00223, -0.00367, -0.00843, 0.00716
0.03373, 1.24836, -0.01937, -0.01977, -0.02242, 0.01344
0.07239, 1.24785, -0.04808, -0.04625, -0.04668, 0.01949
0.12741, 1.24875, -0.08905, -0.08392, -0.08128, 0.02042
0.19831, 1.25269, -0.14211, -0.13248, -0.12636, 0.01737
0.28342, 1.26157, -0.20635, -0.19125, -0.18096, 0.01596
0.37900, 1.27701, -0.27942, -0.25942, -0.24057, 0.02057
0.48041, 1.30001, -0.35830, -0.33699, -0.29722, 0.03437
0.58022, 1.32957, -0.43781, -0.42006, -0.34472, 0.05839
0.67255, 1.36329, -0.51359, -0.50375, -0.38083, 0.09078
0.75787, 1.40039, -0.58600, -0.58868, -0.40516, 0.13168
0.83835, 1.44137, -0.65695, -0.67741, -0.41732, 0.17572
0.91266, 1.48483, -0.72531, -0.76828, -0.41740, 0.22027
0.97938, 1.52866, -0.78950, -0.85915, -0.40570, 0.27069
1.03964, 1.57259, -0.85041, -0.94941, -0.38581, 0.32708
1.09450, 1.61682, -0.90912, -1.03879, -0.36066, 0.37990
1.14200, 1.65828, -0.96303, -1.12332, -0.33170, 0.42791
1.18134, 1.69439, -1.01035, -1.19964, -0.30131, 0.47127
1.21369, 1.72483, -1.05147, -1.26777, -0.27067, 0.50575
1.24005, 1.74976, -1.08710, -1.32620, -0.24462, 0.53264
1.26193, 1.76989, -1.11823, -1.37792, -0.22013, 0.55524
1.27998, 1.78423, -1.14419, -1.42696, -0.18860, 0.57689
1.29403, 1.79108, -1.16371, -1.47236, -0.14939, 0.59998
1.30547, 1.79211, -1.17861, -1.51552, -0.10447, 0.63091
1.31598, 1.79075, -1.19210, -1.55774, -0.05867, 0.67051
1.32557, 1.78702, -1.20421, -1.59859, -0.01286, 0.71731
1.33543, 1.78443, -1.21796, -1.63845, 0.02753, 0.76402
1.34952, 1.79522, -1.24279, -1.67872, 0.04388, 0.80437
1.36534, 1.81285, -1.27082, -1.71621, 0.04678, 0.82247
1.37901, 1.82525, -1.29186, -1.74354, 0.04333, 0.82653
1.39062, 1.82946, -1.30398, -1.76147, 0.03737, 0.82413
1.40113, 1.82724, -1.30920, -1.77236, 0.02913, 0.81921
1.41118, 1.82187, -1.31067, -1.77692, 0.01514, 0.81371
1.42137, 1.81545, -1.31062, -1.77792, -0.00343, 0.80854
1.43254, 1.80925, -1.31065, -1.78093, -0.02049, 0.80410
1.44429, 1.80060, -1.30882, -1.78711, -0.03114, 0.80046
1.45632, 1.79053, -1.30600, -1.79387, -0.04047, 0.79760
1.46831, 1.78009, -1.30315, -1.79863, -0.05342, 0.79540
1.47991, 1.76769, -1.29902, -1.80166, -0.06734, 0.79372
1.49203, 1.75622, -1.29628, -1.80607, -0.08181, 0.79243
1.50455, 1.74374, -1.29341, -1.81358, -0.09183, 0.79148
1.51783, 1.73164, -1.29159, -1.82460, -0.09918, 0.79079
1.53238, 1.72315, -1.29352, -1.83874, -0.10866, 0.79022
1.54697, 1.71350, -1.29518, -1.85440, -0.11500, 0.78755
1.56292, 1.70749, -1.30066, -1.87425, -0.12173, 0.78448
1.58066, 1.70644, -1.31113, -1.90066, -0.12673, 0.77835
1.59865, 1.70376, -1.32108, -1.93271, -0.12039, 0.76139
1.61731, 1.70004, -1.33095, -1.97184, -0.10237, 0.73640
1.63708, 1.69488, -1.33946, -2.01687, -0.07787, 0.70349
1.65666, 1.69088, -1.34703, -2.06057, -0.05490, 0.66175
1.67521, 1.68694, -1.35192, -2.09849, -0.03637, 0.61333
1.69253, 1.68107, -1.35257, -2.12995, -0.02065, 0.55933
1.70886, 1.67401, -1.34957, -2.15501, -0.00829, 0.49956
1.72497, 1.66878, -1.34551, -2.17596, 0.00075, 0.43310
1.74079, 1.66513, -1.34011, -2.19158, 0.00577, 0.35947
1.75566, 1.66038, -1.33104, -2.19918, 0.00731, 0.27800
1.76942, 1.65388, -1.31779, -2.19872, 0.00718, 0.18779
1.78320, 1.64997, -1.30423, -2.19420, 0.00635, 0.08845
1.79723, 1.64935, -1.29116, -2.18639, 0.00547, -0.02026
1.81107, 1.65088, -1.27768, -2.17324, 0.00364, -0.13848
1.82556, 1.65676, -1.26632, -2.15818, 0.00162, -0.26410
1.84017, 1.66336, -1.25541, -2.14277, 0.00086, -0.38565
1.85440, 1.66827, -1.24367, -2.12712, 0.00070, -0.49394
1.86863, 1.67265, -1.23207, -2.11211, 0.00088, -0.58897
1.88328, 1.67760, -1.22158, -2.09869, 0.00123, -0.67076
1.89851, 1.68340, -1.21248, -2.08705, 0.00162, -0.73945
1.91410, 1.68935, -1.20414, -2.07655, 0.00199, -0.79453
1.92942, 1.69366, -1.19506, -2.06585, 0.00233, -0.82296
1.94404, 1.69551, -1.18442, -2.05391, 0.00263, -0.83120
1.95807, 1.69551, -1.17271, -2.04103, 0.00286, -0.82679
1.97200, 1.69483, -1.16097, -2.02833, 0.00304, -0.81069
1.98628, 1.69453, -1.15013, -2.01671, 0.00319, -0.78838
2.00129, 1.69536, -1.14088, -2.00685, 0.00331, -0.76321
2.01672, 1.69661, -1.13256, -1.99802, 0.00341, -0.73642
2.03228, 1.69774, -1.12466, -1.98955, 0.00348, -0.71234
2.04766, 1.69814, -1.11660, -1.98080, 0.00353, -0.69146
2.06267, 1.69740, -1.10803, -1.97149, 0.00358, -0.66933
2.07780, 1.69636, -1.09975, -1.96257, 0.00361, -0.64348
2.09289, 1.69479, -1.09154, -1.95375, 0.00364, -0.61563
2.10796, 1.69273, -1.08342, -1.94501, 0.00367, -0.58788
2.12317, 1.69045, -1.07564, -1.93661, 0.00368, -0.56028
2.13839, 1.68770, -1.06799, -1.92838, 0.00369, -0.53127
2.15304, 1.68352, -1.05952, -1.91925, 0.00369, -0.50077
2.16769, 1.67879, -1.05114, -1.91028, 0.00369, -0.46595
2.18287, 1.67438, -1.04365, -1.90240, 0.00369, -0.42735
2.19773, 1.66897, -1.03577, -1.89407, 0.00369, -0.38795
2.21189, 1.66197, -1.02690, -1.88471, 0.00369, -0.34461
2.22601, 1.65439, -1.01807, -1.87545, 0.00369, -0.29766
2.24070, 1.64718, -1.01019, -1.86727, 0.00368, -0.24930
2.25582, 1.64003, -1.00299, -1.85990, 0.00367, -0.19790
