timestep,mean,lower,upper,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99
0,0.01351561335155189,-0.04243741012941125,0.06946863683251503,0.049972185046184746,0.028188309406573932,-0.07465300262316024,0.0071026817816632745,0.0775704688523122,0.04480162134463724,-0.015999559141067154,-0.026813857526909606,0.048257261235804746,0.0789917883668064,0.020960854115253696,-0.09851279337125864,-0.05536790128331887,0.058796736529850485,0.048091222264364804,0.03501414900357503,-0.042768199743692996,0.021718424409171454,-0.033738409129442655,-0.020566062091460672,0.015468667303371158,0.007055370323371965,0.08644861442587592,-0.09566313165890189,0.09054114013501859,-0.024534830520158486,-0.004572433328504225,0.013057893892394083,-0.028672545307978907,-0.05978353077901055,0.05635199817517509,-0.0011194301393317929,0.07597843122160136,-0.06365574803911116,0.057814465371081564,0.050172040352318675,-0.01267043458641823,0.08281693972087273,0.043730767972837155,-0.011652319739250194,0.09456736097857646,-0.041603221038812706,0.05154455290330803,-0.09899116640642323,0.029636311255957826,0.0067587948978280864,-0.06504368347146644,0.017448246701577602,-0.031809910774330576,-0.040496392434630685,0.015129504745279226,0.09210055784268531,-0.05846165609682687,0.013195191850005481,0.0492841650550488,0.03688156557506631,0.0884138519512124,0.00439977693106017,0.06766037408446682,0.07866855769363103,-0.06398172910940242,-0.030926793718240954,0.06490158115926789,0.026282179192801087,0.09443039445590286,0.030510861236468633,0.06145467384267919,0.002357898603135841,0.08314475222479752,-0.06948586495215754,-0.0800328576988713,-0.09221962084839806,0.035909486236743234,0.03483101500752048,-0.07031950818502421,0.0766587451908237,0.07601841023797413,0.0845615855977467,0.07659597959482684,0.021034942972328663,0.0651852831117085,0.03801638363391865,0.055384340537925764,0.0725670711761585,-0.10401591456418237,-0.09245252948926515,0.031022908647018177,-0.014210723195441224,-0.016900796312688326,0.03883382252817114,-0.07777901499772917,0.09413614633100965,0.09760834392029923,0.012065908126710781,-0.07360943170231327,0.058318499189163896,0.014247796187809362,-0.022509151803791018,0.023474762420075217,0.0530108758853552
1,0.01156952742587811,-0.04500458232287134,0.06814363717462757,0.0458628825410104,0.027258690438090104,-0.07112424194688637,-0.00011623888023658832,0.07059843595672959,0.04319811895344269,-0.008615727298980596,-0.027887102819585646,0.03867667830699431,0.06795624280030539,0.018171630019944273,-0.09703633700943393,-0.0511956999059752,0.05384503673299394,0.0510007665276912,0.03197563937290981,-0.05533208926969625,0.020826688923852515,-0.030198762680327743,-0.015686027110271613,0.0070123698205482535,-0.0008588519738885877,0.07771962850224912,-0.10093404289698449,0.100037623494153,-0.03155986657017951,-0.007530359785857344,0.009419683923528342,-0.032495780577387445,-0.07006123495921834,0.04676329617506601,-0.004740601074503266,0.07228438794179176,-0.06931448029463967,0.054023935137849824,0.04456357754047174,-0.010489019675369545,0.08075436678313541,0.044785988494469936,-0.01084866597966752,0.0916003764834904,-0.04550944271652724,0.05684873084059101,-0.10514237632631852,0.037183368455410634,0.002961496742754631,-0.07083955101905784,0.019622655682702765,-0.03911247762499238,-0.03862358502781149,0.016917654719285562,0.08731753463840121,-0.0653404022799556,0.018846016800959604,0.05233322400487556,0.03766347528103337,0.08556179332117982,0.006095423148425941,0.07155875245030376,0.06827538206936408,-0.05996046344341081,-0.03185029436138061,0.0649563283114759,0.03384977405919443,0.0855990900235914,0.03314256505823605,0.04394755171013501,-0.005162749823612537,0.07765333756960151,-0.06948898575477554,-0.08305051948760159,-0.09452585110068187,0.025528943246687485,0.033955051969812605,-0.07627266107934398,0.07780222145912619,0.06453311883978691,0.07872110941276371,0.0822358364021857,0.014709298938025582,0.0680539549523605,0.049168617883481036,0.05182357505062443,0.07950533954758493,-0.11556020774766522,-0.09675050603296997,0.03358420363272018,-0.005578657109170958,-0.024202143889893158,0.05590477039687548,-0.08482303527755916,0.09697935652643576,0.10097831680870593,0.01360875922894629,-0.07051349663773089,0.04569286805787086,0.016615620505965066,-0.026511987177030787,0.013927701936170265,0.05979840266002146
2,0.014064499508667429,-0.043792240749622124,0.07192123976695698,0.053125147324611044,0.030402481847822273,-0.062476785715324744,-0.005224429531555216,0.06538688564929178,0.04219001469228719,0.0029047897049588912,-0.02239507123751986,0.030009606081599863,0.06142025145838987,0.016165609573240033,-0.08118000763575327,-0.039523815255848666,0.06514847716138393,0.059842569436226505,0.03394896395130688,-0.06766586261836056,0.025005022299556385,-0.016695993851561,-0.005680362397528697,0.008766550914793884,-0.005693629106096205,0.07566754356491442,-0.10891885242861472,0.10584243241872147,-0.03525613137578964,-0.009186433618940558,0.007509709357877662,-0.034558447383767954,-0.06720244598872244,0.031078373232824797,-0.005557094577988526,0.07135314099615754,-0.062149642675377606,0.061515584451269305,0.040110409643720035,-0.007476180786163972,0.07954656406626945,0.07416308213792913,-0.005819092048904511,0.08526071649836738,-0.04000072265980676,0.06633732578246893,-0.10971856914981128,0.04981731346931517,0.02148696059855856,-0.07798586142105313,0.02089269549231433,-0.04446990060444069,-0.03515217258680427,0.01715711824462431,0.08667180932610732,-0.06433012014619446,0.023727735861498414,0.05573944030627173,0.04676039310071848,0.08586422645954266,0.010017252776340854,0.08011881611934435,0.062276623217795604,-0.05357544809820215,-0.031559743367924005,0.07339064282473501,0.05230148522578185,0.08089939975195135,0.03064929352538391,0.027508268093144272,-0.010313300842846568,0.08105971901876503,-0.07051719085853962,-0.07950685429048035,-0.10135239997766807,0.014174959640668474,0.040854778735085674,-0.07923452161269763,0.08281301682469021,0.053512589515924025,0.07041365475214473,0.08984662330699994,0.013009532229886905,0.0798469021412565,0.06220874299608727,0.04651993452395042,0.09320826836498705,-0.11447698753593866,-0.09083643024290904,0.04621050824773709,0.004455782266713037,-0.02779559216349863,0.0747290201699248,-0.0881218895383803,0.1093133202166731,0.11100132984502747,0.017669548968882766,-0.06328440864567861,0.03630865162648294,0.02306999427914728,-0.026856741501222896,0.010310635856568209,0.07968084417763861
3,0.0261443206643675,-0.03509501549110679,0.0873836568198418,0.06687083407082493,0.055871310605373675,-0.0472326130537583,-0.003206394259859688,0.08162520283175563,0.052065595976192834,0.018927397541709176,-0.005036684553490215,0.027221558010095005,0.07447763077766527,0.013604430404872414,-0.06735907705685286,-0.02845459805206539,0.08096087197340844,0.08750082023812122,0.05248338628691357,-0.05662350345325499,0.055064381144823316,0.013915603273437136,0.01533812843604856,0.017052076252169732,0.0005642880703198164,0.09579337824332826,-0.13031689647034975,0.12357017943794052,-0.03867954618310584,-0.011542808803181056,0.013492436737900692,-0.034405102316936144,-0.05835993896559421,0.0426880907225681,-0.007373945877869348,0.073349235743996,-0.04864678872472324,0.08127109902737087,0.05548639714635537,0.004591224904778247,0.08530170685583349,0.13123091781925633,0.00577502210817824,0.08000385772892983,-0.01211449014640496,0.08849211970673206,-0.10723240802372994,0.06506381389842253,0.062320419025389644,-0.08384395909345665,0.03336201734048993,-0.03718407494391415,-0.027578987211983083,0.02836230778412,0.10001091038274522,-0.042583060769423656,0.023019827447752085,0.05308838989656311,0.06328930165267141,0.09985679379686951,0.012221042096178813,0.09382426550084523,0.0704413854633845,-0.04121145935453035,-0.022742110948044087,0.0905645730107398,0.0827738486459364,0.10017171430797886,0.0412897159924901,0.026586265804021392,-0.015967878896592298,0.08924695492586006,-0.05812508725700154,-0.05967072663663495,-0.10559658239517886,-0.0003936473855690409,0.06123816787825398,-0.07629024460417172,0.10140871690191158,0.05628412632719472,0.07931748717569856,0.10415764163675671,0.00802338326712067,0.10463690728400703,0.07262389349601944,0.03199956484132288,0.10334916197966322,-0.0817413277027589,-0.05209851944908503,0.05491339185378048,0.006349347976435024,-0.01729419997565952,0.09934821098514696,-0.08335422862497095,0.1426391552942668,0.1292295670684712,0.02849205997329305,-0.03284940510690716,0.05378011109509252,0.024427032186832735,-0.003871920533097626,0.01212830290781525,0.10898532408846492
4,0.06130477911693379,-0.005117748692284395,0.12772730692615197,0.09967338723073203,0.10320154217147676,0.007384360727913297,0.010099381688839828,0.13852318108883618,0.0956368518029415,0.07571992523369153,0.017915451007062072,0.06903413170714948,0.14168424300221322,0.032023563768309136,-0.03378227447241566,-0.01074862862354499,0.09912641130108313,0.1519074415587544,0.11227434810558466,-0.006726579289619101,0.09380371698419734,0.057500071399946125,0.05188804642797577,0.06424959831426624,0.03972183586436851,0.1431068308958003,-0.10423812972013027,0.17129893801304288,-0.010523275961646324,0.012509084967763403,0.04245982992428739,-0.026505965920446385,-0.03801404775038087,0.09419955137156834,0.020902379779101157,0.12046481745807862,-0.01677790240487469,0.10685314324814293,0.06514247161350524,0.08124251979682254,0.1181062789356233,0.18965498676638937,0.03985314453667745,0.08999640437703212,0.07045139905537079,0.14972922952716528,-0.07007190426688333,0.10180467358406713,0.08744146536633272,-0.05297033487285544,0.0762246638962179,0.000917665147071544,-0.011965372225035208,0.07660472299002558,0.126713219860516,0.03851713194346798,0.04079692455092482,0.06037488901797689,0.12576623869445314,0.11072372985333313,0.02746720895773946,0.10462221826212753,0.08467614858148013,-0.010106112918876609,-0.002059913761710686,0.15900376027820093,0.10607898478249361,0.1622322388245553,0.0727712516588751,0.044566570766387925,-0.0006380127087281893,0.10490059905725815,-0.04477504597512758,-0.047453776223027114,-0.0735106079975773,0.018915712096097735,0.12708464287901444,-0.05790425830142444,0.1503252360860331,0.09099948398341381,0.10526575959225028,0.12023522694311425,0.017892144492197417,0.14109986500347219,0.11534651384584613,0.02688738605934449,0.1365913763684997,-0.03791147722710261,0.04131717133429044,0.08440989196581036,0.03710819103438133,-0.004793531384289713,0.16443231925613197,-0.04615263918525732,0.1883158870366921,0.158158339095711,0.044063539005193456,-0.008482807886489346,0.1167937953672151,0.033165406726541745,0.03984132150151201,0.05701517943003509,0.14178331594280755
5,0.11216716830381028,0.039710309964226184,0.1846240266433944,0.13590659593662988,0.15797791122488675,0.07036533536613598,0.10164887318034765,0.1870606554175838,0.1561823033146642,0.15021790234992655,0.0650578331740008,0.12090830671752313,0.2235663363063861,0.06915962380075516,0.008334155715067312,0.012099587019422209,0.11324513835041322,0.233989015458391,0.19127533583349673,0.041504336984121835,0.13169897326927826,0.11980140639830049,0.1271121533237252,0.15702951269775667,0.07924475208222714,0.20047486289457947,-0.049671308087577866,0.21581317580788975,0.022935860304764633,0.08709934378736284,0.1300448253488657,-0.01952706560321894,0.01351720624412448,0.1587033446588816,0.068030579896883,0.1888737858954745,0.03181356815315706,0.1468961629122111,0.06912192333403235,0.17928795664024316,0.19599933180218262,0.23751279057848795,0.13332412961450235,0.09407089720736997,0.1742397320778937,0.26042136538646665,-0.036682917832380146,0.1564301782761925,0.09503872207892829,0.007054865448656918,0.1493730760313076,0.06528173454672787,0.08205351751229485,0.12267305883293757,0.16321254289756826,0.14242693493501526,0.06407027062850175,0.06996412154601707,0.18975500844836166,0.11888597048479521,0.05193836431547566,0.11173883646645186,0.17643268564452336,0.07748243894326524,0.033185385915806,0.21959121775035045,0.13652491387343513,0.2244993082145439,0.11126828751366781,0.07237383498420688,0.040424442964854354,0.11908901315814947,-0.014340731937974718,-0.008440805503275054,-0.03899227427528414,0.03446676996265973,0.1845816116401431,0.027268924104240064,0.1907352185027866,0.17018922566978292,0.15471381071063223,0.1342167236295419,0.09513750342275178,0.18032864000261775,0.168394020288975,0.08068712477974559,0.17848484284057226,0.013075692156817085,0.11821091452491542,0.13260296287302842,0.10615199523738345,-0.0008663970779121863,0.2557919340086381,0.028320505063046134,0.23422796436916932,0.18023216421322294,0.08008529429941592,0.02171994637536426,0.16477038999407365,0.03650756689489625,0.08365415664397387,0.0970142940314859,0.1713325165803256
6,0.16414987905206396,0.08078307467270013,0.2475166834314278,0.17619741745485354,0.2132730755071661,0.1312551994799838,0.18763223115628708,0.2780796154014829,0.2125873690830501,0.22426001858187897,0.1281378078818411,0.17331989061719555,0.27401123291755913,0.10855170549111981,0.06195715240380824,0.048260359573850165,0.13288531740303253,0.2858599816421017,0.2705632345496725,0.08668531894948717,0.1724006566709988,0.17858072192386906,0.20110586341045508,0.23394411519472902,0.12310081487437141,0.25615858593979884,0.004621309127369411,0.262786648637638,0.06306211746965665,0.1558705387939826,0.2131678478914971,-0.008959963919742539,0.08770069727778818,0.22787253645884545,0.12125723186127835,0.25646184887397583,0.06100647537403625,0.18678875670164885,0.07862158356686089,0.2772444532565349,0.275255772821622,0.2628013028250949,0.22625729606945688,0.10255037780048039,0.2598066340909458,0.37145002447727143,0.007627807589483535,0.21030671746867302,0.10513027830881166,0.06560620063051102,0.22471964307870354,0.10628172721072,0.18846682250568866,0.16114026633683218,0.20632623726772267,0.2383770556162089,0.08893815341979953,0.08445207980336476,0.2566766589743643,0.1257635076938289,0.0738937718702906,0.12211770531759256,0.2726762028360955,0.16303969106958965,0.0779724695318772,0.28287313067768244,0.19195296082296068,0.2873910517209322,0.1526221443440756,0.09526593439908353,0.08395751747481248,0.13319282126835455,0.012255088589125007,0.04659674712455565,-0.0024486334840702817,0.052848218697934685,0.23517140416140472,0.10742195909552746,0.22509734651352253,0.2449335810425786,0.21435297885853674,0.1607414787926871,0.16955926749459393,0.22540571972592313,0.23050903066070755,0.15181487639163432,0.21852163518879694,0.06741950108632619,0.18628680623042204,0.18999630094710923,0.17115403373682817,0.012340050888844968,0.3275450781207262,0.08843275626947075,0.28089465692369553,0.20920186280255512,0.13724467816915825,0.05949483368713549,0.21680121313967984,0.052810544093493623,0.11970178265691313,0.14348486267305188,0.20819851212463478
7,0.2209725922242222,0.12314192268867856,0.3188032617597658,0.22275347775456028,0.2649796474011856,0.19666850583864792,0.2748098518889117,0.388653431908686,0.27767618449430714,0.30321804729763346,0.17694075634011663,0.2291032220005887,0.32575527077060135,0.15072194927578245,0.1179606732743559,0.09974506662850031,0.15858734769552119,0.35220936593388597,0.3435984118590123,0.13616539901495875,0.21615544823943517,0.22184222573932394,0.25396194741791817,0.30363181008819246,0.17817619694499084,0.32183174849908147,0.06110887969746674,0.31390069259189907,0.10432640377312104,0.22743737203631278,0.2991154675699295,0.009626037094270113,0.19123940798006256,0.30387226421324015,0.16066409725920625,0.32905920323271026,0.09682343834532887,0.23572602293122902,0.09401420424629861,0.3790582823911531,0.3547429150148211,0.30368656103694647,0.32646416554853597,0.11681367746942634,0.35931172184591365,0.4832935169484899,0.0711566261056944,0.2671120355393326,0.13775174150476008,0.12216289907900837,0.30083151320711,0.13378961746098142,0.2975426626176456,0.1981930180232143,0.2536883849262721,0.3426247657979587,0.128083706048399,0.10577940608058362,0.3348967176387189,0.13836272824788096,0.0999178356683341,0.139300835430719,0.3638875777857995,0.252689621569085,0.1322568062084451,0.35228491169232445,0.260369894254403,0.3579197739128598,0.19718007908023213,0.12622456569179125,0.12925452344236776,0.147011265826373,0.040290731171405504,0.11079237005753538,0.041900725247458706,0.08040338464573578,0.2909826380651688,0.1909465679380213,0.2630824434249175,0.32593107031200513,0.2643418222481228,0.20479659969637595,0.24647505028692715,0.2793524783827702,0.30507760660505656,0.2261352370922363,0.2623283742011288,0.13085672812933596,0.261106514799361,0.2512380064219381,0.2441535397292635,0.04302015605971082,0.38426861823130354,0.1416154067340509,0.3357390811466131,0.25180929023254983,0.19410035891563968,0.10613913436956053,0.27636591815428624,0.08017766200097709,0.15693966063014977,0.19355685682425566,0.25763136029550543
8,0.28899963576681204,0.17691782664550548,0.4010814448881186,0.27023792289059756,0.3165829490537235,0.2679647334074316,0.366600769992521,0.48504473586956875,0.35952560280417717,0.38665533266922997,0.21788207100723336,0.29282562712727156,0.3894453629914393,0.2008851437629584,0.19875082596435958,0.18762737103495566,0.1981833482977112,0.4347150366795737,0.41690044133695525,0.1927004892205162,0.26453719885160676,0.2766937036551666,0.282737307294561,0.3831247159471042,0.25622949677887075,0.41024388869215206,0.1210801446501565,0.3752810291709507,0.1491336143020574,0.30401640602203184,0.39738700539633154,0.044123697504756455,0.27881835366503255,0.3931641601541002,0.18554914545661727,0.39888619337884285,0.15527288331371353,0.27147478771474637,0.12577680326141527,0.4904160672305566,0.4411085804535696,0.3506181696762434,0.4342109753482451,0.1372272332135789,0.46538284853913814,0.5981168010113395,0.22617137326318745,0.32907099722287725,0.2152109884652536,0.18451250691043022,0.371641484060801,0.16067826204122543,0.42033090762614933,0.24303640911044505,0.29217374746979097,0.4491790351837583,0.1852992255544291,0.136308807780948,0.4267952604108877,0.16560527289886623,0.14389515108699624,0.18261942396853892,0.4561408812772641,0.3550968326920072,0.23475433751678257,0.43559592191853147,0.31738550153744904,0.4512520071267616,0.24936196176083514,0.20027539314576334,0.17341604482044215,0.1675473135859588,0.06986694109633189,0.21777827733094293,0.09997338997602875,0.12587472757597767,0.3549887870892072,0.2808695245632801,0.30394367505421016,0.42427149547490417,0.3114361077615665,0.30538562756239274,0.3330404820385564,0.36510374859693917,0.4095581802152285,0.306146711955843,0.3119198759166665,0.21424145695850536,0.34889877800348457,0.32299725741866736,0.32429678513756577,0.09493570120732213,0.45918724787710025,0.2074340573375787,0.40226079184440083,0.2989274785053552,0.26468246875173973,0.17116498811084357,0.34963226591833074,0.11631734989773061,0.20114966126218461,0.2503098387294645,0.30687587428336477
9,0.37741412626862364,0.24537522521677604,0.5094530273204713,0.3459484005486885,0.37573431187700956,0.3654091430457573,0.469067246114152,0.5967964020595325,0.4725124367697984,0.5186234135381587,0.27449869209447014,0.3726864854620178,0.45932888797516297,0.2547553251900436,0.3103520062564135,0.2882385269375548,0.2907785212063099,0.5639720892400747,0.5001461401736452,0.2934613866987075,0.32752175170365705,0.3472576829282421,0.31189312861837787,0.4668502537633123,0.3803688907391681,0.5517956561857388,0.19737721144853823,0.47734868749968534,0.2044060910327263,0.3857695230034459,0.5145131249952574,0.10695469153935008,0.3557304571891664,0.5902102146996449,0.20981455926882137,0.47387941726216465,0.23509760667206764,0.3006734295550721,0.19603489982137953,0.6319732321633381,0.544264223873068,0.4450997356833021,0.5926542773127675,0.16466543258276203,0.5797755291976506,0.7145122259635791,0.369106852589943,0.4066374170223495,0.2815509995131908,0.2701251897789685,0.4193010334935831,0.20133176409834388,0.5710340214711784,0.30697972405263696,0.33024256589478457,0.5550041473996219,0.24857046988337422,0.1983444126669956,0.5405212396142225,0.2608207500074434,0.19918551985432723,0.2673922679938106,0.5574351323124408,0.47984765211499253,0.331304806601449,0.5646997662760003,0.36477551546585035,0.6180132346639307,0.3485646075150942,0.2945595387501199,0.21650875325479405,0.1960096789641564,0.09965768411758862,0.31432427008223063,0.19128831484158945,0.1975505053899326,0.42964802498931925,0.387890064536412,0.3467177494091475,0.5857057865578813,0.3443868760844755,0.44205547317655947,0.43008592871874357,0.45623351929542355,0.5253294423682572,0.40320143027585575,0.4005700949891418,0.2946602948287415,0.452135599020731,0.4024135157694415,0.4054016741959262,0.20557160917630257,0.5426793866144909,0.2784235560285316,0.5170820864768838,0.36993069713707216,0.343955515486972,0.311468587197272,0.43387959204539434,0.2003426903991543,0.28756551898168936,0.32995432620587173,0.3546844013219511
